Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Monday, Apr 20",SEA,Home,ATH,L,4.0,6.0,9.0,10-14,4.0,2.5,Harris,Legumina,Kuhnel,2:42,N,20203.0,.95,-1.0,
"Tuesday, Apr 21",SEA,Home,ATH,L,2.0,5.0,9.0,10-15,4.0,3.5,Lopez,Bazardo,Perkins,2:59,N,19092.0,.72,-2.0,
"Wednesday, Apr 22",SEA,Home,ATH,W-wo,5.0,4.0,9.0,11-15,4.0,2.5,Muñoz,Kuhnel,None,2:51,D,15704.0,1.15,1.0,
"Friday, Apr 24",SEA,@,STL,W,3.0,2.0,9.0,12-15,3.0,2.5,Kirby,Pallante,Muñoz,2:41,N,31304.0,.61,2.0,
"Saturday, Apr 25",SEA,@,STL,W,11.0,9.0,9.0,13-15,3.0,1.5,Brash,O'Brien,Muñoz,3:16,D,27236.0,.71,3.0,
"Sunday, Apr 26",SEA,@,STL,W,3.0,2.0,9.0,14-15,3.0,1.5,Bazardo,Romero,Ferrer,2:36,D,30780.0,.91,4.0,
"Monday, Apr 27",SEA,@,MIN,L,4.0,11.0,9.0,14-16,3.0,2.0,Prielipp,Castillo,None,2:45,N,14160.0,1.43,-1.0,
"Tuesday, Apr 28",SEA,@,MIN,W,7.0,1.0,9.0,15-16,2.0,1.0,Bazardo,Ryan,None,2:48,N,17821.0,1.01,1.0,
"Wednesday, Apr 29",SEA,@,MIN,W,5.0,3.0,9.0,16-16,2.0,1.0,Criswell,Orze,Muñoz,3:14,D,20051.0,.92,2.0,
"Friday, May 1",SEA,Home,KCR,L,6.0,7.0,9.0,16-17,3.0,1.5,Lynch,Ferrer,Erceg,2:45,N,36384.0,1.03,-1.0,
"Saturday, May 2",SEA,Home,KCR,L,2.0,3.0,10.0,16-18,3.0,1.5,Strahm,Criswell,Erceg,2:38,N,42794.0,.92,-2.0,
"Sunday, May 3",SEA,Home,KCR,L,1.0,4.0,9.0,16-19,3.0,2.5,Bubic,Castillo,Lynch,2:35,D,39408.0,1.36,-3.0,
