Home Team,Home Abbreviation,Home ID,Home Score,Home Q1,Home Q2,Home Q3,Home Q4,Away Team,Away Abbreviation,Away ID,Away Score,Away Q1,Away Q2,Away Q3,Away Q4
Sacramento Kings,SAC,23,108.0,34.0,22.0,26.0,26.0,Denver Nuggets,DEN,7,122.0,33.0,27.0,25.0,37.0
Charlotte Hornets,CHA,30,111.0,35.0,24.0,24.0,28.0,Milwaukee Bucks,MIL,15,100.0,27.0,23.0,22.0,28.0
Detroit Pistons,DET,8,124.0,35.0,33.0,27.0,29.0,Chicago Bulls,CHI,4,113.0,23.0,29.0,27.0,34.0
New York Knicks,NY,18,107.0,23.0,19.0,31.0,34.0,Orlando Magic,ORL,19,124.0,30.0,32.0,29.0,33.0
Boston Celtics,BOS,2,131.0,34.0,33.0,33.0,31.0,Memphis Grizzlies,MEM,29,95.0,26.0,20.0,28.0,21.0
Miami Heat,MIA,14,116.0,38.0,31.0,28.0,19.0,Cleveland Cavaliers,CLE,5,130.0,29.0,37.0,27.0,37.0
Houston Rockets,HOU,10,135.0,40.0,41.0,22.0,32.0,Washington Wizards,WSH,27,112.0,29.0,25.0,33.0,25.0
New Orleans Pelicans,NO,3,117.0,25.0,34.0,26.0,32.0,Portland Trail Blazers,POR,22,125.0,30.0,27.0,38.0,30.0
San Antonio Spurs,SA,24,120.0,28.0,28.0,28.0,36.0,Golden State Warriors,GS,9,125.0,14.0,35.0,43.0,33.0
Dallas Mavericks,DAL,6,114.0,28.0,25.0,28.0,33.0,Phoenix Suns,PHX,21,123.0,30.0,33.0,32.0,28.0
Oklahoma City Thunder,OKC,25,121.0,30.0,40.0,30.0,21.0,Los Angeles Lakers,LAL,13,92.0,18.0,20.0,26.0,28.0
Sacramento Kings,SAC,23,100.0,34.0,12.0,22.0,32.0,Atlanta Hawks,ATL,1,133.0,37.0,29.0,39.0,28.0
LA Clippers,LAC,12,116.0,35.0,33.0,22.0,26.0,Denver Nuggets,DEN,7,130.0,39.0,24.0,43.0,24.0
Cleveland Cavaliers,CLE,5,113.0,30.0,24.0,31.0,28.0,Toronto Raptors,TOR,28,126.0,29.0,38.0,23.0,36.0
Phoenix Suns,PHX,21,133.0,31.0,39.0,36.0,27.0,Indiana Pacers,IND,11,98.0,23.0,29.0,32.0,14.0
Utah Jazz,UTAH,26,122.0,33.0,34.0,36.0,19.0,Atlanta Hawks,ATL,1,132.0,42.0,38.0,23.0,29.0
New York Knicks,NY,18,140.0,32.0,46.0,32.0,30.0,Miami Heat,MIA,14,132.0,35.0,33.0,36.0,28.0
Orlando Magic,ORL,19,105.0,27.0,27.0,25.0,26.0,Brooklyn Nets,BKN,17,98.0,36.0,22.0,24.0,16.0
Detroit Pistons,DET,8,114.0,28.0,35.0,25.0,26.0,Philadelphia 76ers,PHI,20,105.0,27.0,27.0,36.0,15.0
Houston Rockets,HOU,10,140.0,41.0,28.0,36.0,35.0,Portland Trail Blazers,POR,22,116.0,32.0,28.0,31.0,25.0
Milwaukee Bucks,MIL,15,147.0,34.0,27.0,42.0,26.0,Charlotte Hornets,CHA,30,134.0,33.0,36.0,29.0,31.0
Minnesota Timberwolves,MIN,16,124.0,35.0,26.0,31.0,32.0,Sacramento Kings,SAC,23,110.0,30.0,31.0,30.0,19.0
New Orleans Pelicans,NO,3,104.0,25.0,27.0,25.0,27.0,Los Angeles Lakers,LAL,13,118.0,35.0,30.0,30.0,23.0
Dallas Mavericks,DAL,6,127.0,31.0,24.0,31.0,28.0,LA Clippers,LAC,12,133.0,34.0,28.0,31.0,21.0
San Antonio Spurs,SA,24,108.0,20.0,25.0,34.0,29.0,Golden State Warriors,GS,9,109.0,18.0,29.0,30.0,32.0
Cleveland Cavaliers,CLE,5,108.0,28.0,26.0,22.0,32.0,Memphis Grizzlies,MEM,29,100.0,32.0,29.0,23.0,16.0
Charlotte Hornets,CHA,30,96.0,30.0,22.0,18.0,26.0,Oklahoma City Thunder,OKC,25,109.0,30.0,25.0,32.0,22.0
Indiana Pacers,IND,11,111.0,29.0,24.0,32.0,26.0,Toronto Raptors,TOR,28,129.0,32.0,30.0,39.0,28.0
Milwaukee Bucks,MIL,15,95.0,18.0,16.0,38.0,23.0,Los Angeles Lakers,LAL,13,119.0,30.0,35.0,27.0,27.0
Minnesota Timberwolves,MIN,16,112.0,31.0,29.0,26.0,26.0,Denver Nuggets,DEN,7,123.0,29.0,26.0,32.0,36.0
Boston Celtics,BOS,2,121.0,37.0,26.0,27.0,31.0,LA Clippers,LAC,12,118.0,30.0,19.0,36.0,33.0
